trip_duration,fare_amount,pickup_location,drop_location,payment_mode,driver_rating,start_hour,day_of_week
43,291.05,Koramangala,BTM Layout,Cash,3.1,19,Monday
56,90.56,Koramangala,Banashankari,Online,3.4,0,Sunday
33,209.02,Koramangala,Marathahalli,Cash,4.1,15,Friday
19,230.31,Koramangala,Marathahalli,Online,4.9,7,Tuesday
47,259.07,Jayanagar,Banashankari,Cash,3.1,22,Friday
12,144.11,Indiranagar,BTM Layout,Online,3.1,5,Monday
25,111.79,Jayanagar,Marathahalli,Cash,3.3,2,Saturday
43,117.83,Whitefield,HSR Layout,Cash,4.3,19,Wednesday
23,222.41,Jayanagar,Banashankari,Cash,3.8,15,Friday
27,250.53,Electronic City,BTM Layout,Cash,4.7,1,Tuesday
15,79.04,Koramangala,HSR Layout,Online,3.1,22,Thursday
15,130.15,Electronic City,Banashankari,Cash,3.4,1,Wednesday
28,273.52,Electronic City,BTM Layout,Online,3.6,14,Thursday
57,247.81,Whitefield,HSR Layout,Online,4.3,9,Tuesday
40,295.91,Koramangala,Marathahalli,Online,4.4,0,Monday
44,233.65,Electronic City,Banashankari,Online,3.2,21,Saturday
28,136.16,Whitefield,Banashankari,Online,4.9,19,Sunday
7,189.47,Koramangala,Marathahalli,Online,3.7,14,Monday
26,208.47,Indiranagar,MG Road,Online,4.4,23,Saturday
57,51.18,Whitefield,HSR Layout,Cash,4.0,0,Sunday
6,177.01,Jayanagar,Marathahalli,Online,3.4,21,Wednesday
28,221.52,Koramangala,Banashankari,Online,4.7,15,Friday
48,75.18,Electronic City,HSR Layout,Online,4.6,17,Friday
34,240.77,Electronic City,HSR Layout,Online,3.8,23,Thursday
42,187.62,Jayanagar,MG Road,Online,4.2,4,Monday
6,287.1,Jayanagar,Banashankari,Cash,3.5,20,Friday
25,41.45,Electronic City,BTM Layout,Online,4.4,4,Saturday
37,101.64,Koramangala,MG Road,Online,3.6,22,Sunday
16,192.42,Whitefield,MG Road,Cash,4.7,22,Friday
26,110.07,Jayanagar,BTM Layout,Online,3.4,9,Monday
48,222.89,Jayanagar,BTM Layout,Online,3.0,22,Monday
29,234.93,Jayanagar,MG Road,Online,3.5,11,Tuesday
53,57.68,Indiranagar,HSR Layout,Online,3.4,9,Sunday
31,168.74,Koramangala,Marathahalli,Cash,4.0,1,Thursday
46,167.4,Koramangala,Marathahalli,Online,3.4,23,Sunday
32,129.71,Koramangala,MG Road,Online,4.5,0,Monday
20,281.89,Koramangala,HSR Layout,Cash,3.5,15,Sunday
19,253.43,Koramangala,BTM Layout,Cash,4.4,17,Tuesday
